Symbol_unique,SeqId,coef,abs coef,intercept,mean,std_dev,assay,5k_to_7k_scale,11k_to_7k_scale
PDGFRA,10366-11,0.008027759,0.008027759,0.817267898,3.083279081,0.174205258,5k,0.767,
SCARA5,10419-1,0.012098772,0.012098772,0.817267898,3.724731987,0.146852015,5k,0.787,
KIR2DS2,10428-1,0.003253766,0.003253766,0.817267898,3.176708023,0.231993465,5k,0.654,
RPN1.1,10490-3,-0.003531877,0.003531877,0.817267898,3.505364025,0.136094851,5k,0.862,
PTGDS,10514-5,0.062115949,0.062115949,0.817267898,4.335062753,0.139968789,5k,0.719,
MXRA8.1,10521-10,-0.071415858,0.071415858,0.817267898,2.814679438,0.091731529,5k,1.165,
PCDH9,10558-26,-0.000985812,0.000985812,0.817267898,3.570113043,0.137541051,5k,0.847,
HTN3,10603-1,-0.032670444,0.032670444,0.817267898,3.055994228,0.171838492,5k,0.66,
MPZ,10615-18,0.010850687,0.010850687,0.817267898,3.147226337,0.14610028,5k,0.795,
UCN3,10756-34,-0.007271235,0.007271235,0.817267898,2.903947848,0.177085311,5k,0.74,
TMED2,10761-5,-0.00380856,0.00380856,0.817267898,2.736004655,0.071136613,5k,0.867,
CYB5D2,10924-258,-0.004353822,0.004353822,0.817267898,1.932474834,0.107787142,5k,0.916,
SPINK7,10974-20,-0.018852754,0.018852754,0.817267898,3.095660891,0.148466255,5k,0.859,
NRG3.1,10981-56,-0.003201582,0.003201582,0.817267898,2.695341856,0.162559521,5k,0.918,
ANGPTL1.1,11142-11,0.023487639,0.023487639,0.817267898,2.950045527,0.086889353,5k,0.941,
KLK13.1,11152-46,-0.036554073,0.036554073,0.817267898,3.767107646,0.172628838,5k,0.828,
HSPA1A.4,11157-35,0.03137879,0.03137879,0.817267898,3.325541318,0.07266661,5k,0.577,
KRT5,11177-16,0.012978343,0.012978343,0.817267898,3.306543944,0.138563384,5k,0.813,
FGFBP3,11219-95,0.004209489,0.004209489,0.817267898,3.036237834,0.094257528,5k,0.768,
PCOLCE,11237-49,-0.017599474,0.017599474,0.817267898,3.68336578,0.127526508,5k,1.973,
MADCAM1,11258-41,0.004655945,0.004655945,0.817267898,3.086141636,0.088141977,5k,0.947,
SELPLG.1,11266-8,-0.037160297,0.037160297,0.817267898,3.331966505,0.146265932,5k,0.742,
MRE11,11319-106,-0.008274551,0.008274551,0.817267898,2.983714894,0.105600599,5k,0.916,
CD7,12008-3,0.008267433,0.008267433,0.817267898,2.680924375,0.181288847,5k,0.791,
TPPP2,12800-5,-0.044513779,0.044513779,0.817267898,3.56735199,0.145136493,5k,0.674,
KRT20,12975-11,-0.013722924,0.013722924,0.817267898,2.863895795,0.162574464,5k,0.962,
SORBS3,12976-49,-0.012446603,0.012446603,0.817267898,2.357445175,0.118699849,5k,0.931,
PRKG1,13067-5,-0.009659099,0.009659099,0.817267898,3.317266381,0.059466531,5k,1.156,
REG1A,13095-51,-0.00209425,0.00209425,0.817267898,3.896912632,0.193943654,5k,0.898,
